Document Name,Original Issue Date,Date Added to this List,Identifier,Topics,Description/Summary,URL
"Arsenic and Clarifications to Compliance and New
Source Monitoring Rule: A Quick Reference Guide (PDF)",2001-01-01,2020-02-28,OW-OGWDW-217,Drinking water,"Arsenic and Clarifications to Compliance and New
Source Monitoring Rule: A Quick Reference Guide",http://www.vdh.virginia.gov/content/uploads/sites/14/2016/04/Arsenic-and-clarifications-Quick-Reference.pdf
"Memorandum: Action items from the joint Department of the Army and EPA memorandum dated 08 July 2015, Paragraph 3, “Improving the Permit Process” (PDF)",2016-12-21,2020-02-28,OW-OWOW-1544,permitting ,"Joint EPA-Corps memo to field staff describing the actions that the agencies will take to ensure that potential permit applicants benefit from program improvements. Issued in response to July 8, 2015 and November 16, 2015 joint memos. ",https//www.epa.gov/sites/production/files/2017-12/documents/clean_water_rule_implementation_memo.pdf   https://www.epa.gov/sites/production/files/2017-12/documents/2015-11-16_signed_cwr_post-stay_coordination_memo.pdf
The Biological Effects of Suspended and Bedded Sediment (SABS) in Aquatic Systems: A Review (PDF),2003-08-20,2020-02-28,OW-OST-2469,Water Quality Criteria,The Biological Effects of Suspended and Bedded Sediment (SABS) in Aquatic Systems: A Review,https://archive.epa.gov/epa/sites/production/files/2015-10/documents/sediment-appendix1.pdf
Water Quality Trading Policy (PDF),2003-01-13,2020-02-28,OW-OWM-2703,Trading,"Policy to ""encourage states, interstate agencies and tribes to develop and implement water quality trading programs for nutrients, sediments and other pollutants where opportunities exist to achieve water quality improvements at reduced costs. More specifically, the policy is intended to encourage voluntary trading programs that facilitate implementation of TMDLs, reduce the costs of compliance with CWA regulations, establish incentives for voluntary reductions and promote watershed-based initiatives.",https://archive.epa.gov/ncer/events/calendar/archive/web/pdf/finalpolicy2003.pdf
Application of Elements of a State Water Monitoring and Assessment Program For Wetlands (PDF),2006-04-20,2020-02-28,OW-OWOW-204,Monitoring ,Helps EPA and State program managers plan/implement wetland monitoring & assessment program re:  Elements of a State Water Monitoring and Assessment Program (EPA 841-B-03-003) ,https://archive.epa.gov/ncer/events/calendar/archive/web/pdf/wetlandelements.pdf
Assessment protocols for integrating wetlands into existing state water monitoring programs (PDF),2006-05-02,2020-02-28,OW-OWOW -2850,Wetland Monitoring Applications,"Basic approach for incorporating wetlands monitoring into state surface water programs, including funding authorities",https://archive.epa.gov/ncer/events/calendar/archive/web/pdf/wetlandelements.pdf
Guidance On Monitoring and Reporting Requirements for Class II-D and II-R Injection Wells Underground Injection Control Program (PDF),2000-02-02,2020-02-28,OW-OGWDW-1036,UIC,"In accordance with federal regulations 40 CFR Section 144.28 for rule-authorized wells and 40 CFR Section 146.23 for permitted injection wells, the owner or operator of a Class II-D or Class II-R injection well is required to submit an annual report summarizing the results of all monitoring activities.  In addition, owners or operators of permitted injection wells are required to submit a fluid analysis of the injectate.  These reports need to be submitted if the well is active, shut-in, or temporarily abandoned, and the current status of the well must be indicated on the report. ",https://archive.epa.gov/pesticides/region4/water/uic/web/pdf/reporting_guide.pdf
Elements of a State Water Monitoring and Assessment Program EPA 841-B-03-003,2003-03-14,2020-02-28,OW-OWOW-685,Monitoring ,Elements of a State Water Monitoring and Assessment Program EPA 841-B-03-003,https://archive.epa.gov/water/archive/web/html/statemonitoring.html
Guidance for Public Water Systems on Enhanced Monitoring for Chromium-6 (PDF),2011-01-11,2020-02-28,OW-OGWDW-981,Drinking Water,Guidance for Public Water Systems on Enhanced Monitoring for Chromium-6,https://archive.epa.gov/water/archive/web/pdf/memorandum_2011_petesilva_pws_chromium6guidance.pdf
SDWIS/STATE Version,2017-03-03,2020-02-28,OW-OGWDW-2101,Drinking Water,SDWIS/STATE Version,https://catalog.data.gov/dataset/safe-drinking-water-information-system-state-system-sdwis-state
Framework for Incorporating Community Preferences in Use Attainment and Related Water Quality Decision-Making,2010-04-01,2020-06-27,OW-OST-2909,Use Attainment,"The report is intended to assist water quality officials, watershed managers, members of stakeholder groups in  evaluating ecological and socioeconomic objectives and the gains and losses involved in use attainment decisions.",https://cfpub.epa.gov/ncea/risk/recordisplay.cfm?deid=75214
Arsenic Treatment Technology Evaluation Handbook for Small Systems (PDF),2005-06-01,2020-02-28,OW-OGWDW-220,Drinking Water,Arsenic Treatment Technology Evaluation Handbook for Small Systems,https://cfpub.epa.gov/safewater/arsenic/arsenictradeshow/Pubs/handbook_arsenic_treatment-tech.pdf
Short-term Methods for Estimating the Chronic Toxicity of Effluents and Receiving Waters to West Coast Marine and Estuarine Organisms,1995-08-01,2020-07-17,OW-OWM-2960,WET,"This EPA marine and estuarine toxicity test methods manual was developed for Pacific coastal waters for estimating the short-term chronic toxicity of effluents and receiving waters.  This methods manual describes short-term chgronic toxicity test methods (both static renewal and static nonrenewal) including laboratory operation and statistical data analysis approaches for eight test species:  the topsmelt, Atherinops affinis; the mysid, Holmesimysis costata; the sea urchin, Strongylocentrotus purpuratus and sand dollar Dendraster excentricus; the red abalone Haliotis rufescens; the bivalves Crassostrea gigas and mussel Mytilus spp.; and the giant kelp, Macrocystis pyrifera.",https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=NERL&dirEntryId=46584
Life Cycle Assessment and Cost Analysis of Municipal Wastewater Treatment Anaerobic Digestion Expansion Options,2019-09-23,2020-02-28,OW-OST-1449,Technology and Innovation,"Scientific report on an innovative technology case study, as a general resource.",https://cfpub.epa.gov/si/si_public_record_report.cfm?Lab=ORA&dirEntryId=346840
Ecological Evaluation of Proposed Discharge of Dredged Material into Ocean Waters,1977-07-01,2020-02-28,OW-OWOW-2876,MPRSA,"Used for implementation of Section 103 of Public Law 92-532, the MPRSA of 1972. ",https://cfpub.epa.gov/si/si_public_record_Report.cfm?Lab=OWOW&dirEntryID=116296 
"The Use of Soil Amendments for Remediation, Revitalization, and Reuse (PDF)",2007-12-01,2020-02-28,OW-OST-2495,Biosolids,"The Use of Soil Amendments for Remediation, Revitalization, and Reuse",https://clu-in.org/download/remed/epa-542-r-07-013.pdf
Analytical Methods Approved for Drinking Water Compliance Monitoring under the GWR,2017-01-24,2020-02-28,OW-OGWDW-160,Analytical Methods,Web page listing analytical methods approved for compliance monitoring via Expedited Method Approval FRN. ,https://ecfr.io/Title-40/pt40.25.141#ap40.25.141_129.a
Analytical Methods Approved for Drinking Water Compliance Monitoring under the Long Term 2 Enhanced Surface Water Treatment Rule,2017-01-24,2020-02-28,OW-OGWDW-161,Analytical Methods,Web page listing analytical methods approved for compliance monitoring via Expedited Method Approval FRN. ,https://ecfr.io/Title-40/pt40.25.141#ap40.25.141_129.a
Analytical Methods Approved for Drinking Water Compliance Monitoring under the Revised TCR,2017-01-24,2020-02-28,OW-OGWDW-162,Analytical Methods,Web page listing analytical methods approved for compliance monitoring via Expedited Method Approval FRN. ,https://ecfr.io/Title-40/pt40.25.141#ap40.25.141_129.a
Analytical Methods Approved for Drinking Water Compliance Monitoring under the SWTR,2017-01-24,2020-02-28,OW-OGWDW-163,Analytical Methods,Web page listing analytical methods approved for compliance monitoring via Expedited Method Approval FRN. ,https://ecfr.io/Title-40/pt40.25.141#ap40.25.141_129.a
Definition of a Significant Non-Complier   ,2005-06-01,2020-02-28,OW-OGWDW-508,Drinking Water,Definition of a Significant Non-Complier   ,https://echo.epa.gov/resources/general-info/echo-faq#in_snc
How Can Water Utilities Obtain Critical Assets to Support Decontamination Activities?,2015-02-01,2020-06-27,OW-OGWDW-2932,Water Security,"A factsheet that provides information to utilities and emergency responders on obtaining critical assets from local, state and federal.",https://go.usa.gov/xnRWE
Implementation of Section 303(d) Until the New TMDL Rule Becomes Effective,2001-06-08,2020-02-28,OW-OWOW-1268,Impaired waters,Support States reporting on water quality status and developing TMDLs,https://intranet/epa.gov/owow/tmdl/docs/303d12-7.html
Small System Compliance Technology List for the Non-Microbial Contaminants Regulated Before 1996 (WSG 101A) (PDF),1998-09-01,2020-02-28,OW-OGWDW-2134,Drinking Water,Small System Compliance Technology List for the Non-Microbial Contaminants Regulated Before 1996 (WSG 101A),https://nepis.epa.gov/Adobe/PDF/20002173.pdf
Record Keeping Rules:; A Quick Reference Guide (PDF),2006-09-01,2020-02-28,OW-OGWDW-2013,Drinking Water,Record Keeping Rules:; A Quick Reference Guide,https://nepis.epa.gov/EPA/html/DLwait.htm?url=/Exe/ZyPDF.cgi/2000ZZB2.PDF?Dockey=2000ZZB2.PDF
Revised Guidance Manual for Selecting Lead and Copper Control Strategies (PDF),2003-04-23,2020-02-28,OW-OGWDW-2071,Drinking Water,Revised Guidance Manual for Selecting Lead and Copper Control Strategies,https://nepis.epa.gov/EPA/html/DLwait.htm?url=/Exe/ZyPDF.cgi/P100999U.PDF?Dockey=P100999U.PDF
Lead and Copper Monitoring and Reporting Guidance for Public Water Systems  (PDF),2010-03-01,2020-02-28,OW-OGWDW-1427,Drinking Water ,Lead and Copper Monitoring and Reporting Guidance for Public Water Systems ,https://nepis.epa.gov/EPA/html/DLwait.htm?url=/Exe/ZyPDF.cgi/P100DP2P.PDF?Dockey=P100DP2P.PDF
Memorandum: Management of Aerators during Collection of Tap Samples to Comply with the Lead and Copper Rule (PDF),2006-10-20,2020-02-28,OW-OGWDW-1556,Drinking Water ,Memorandum: Management of Aerators during Collection of Tap Samples to Comply with the Lead and Copper Rule,https://nepis.epa.gov/EPA/html/DLwait.htm?url=/Exe/ZyPDF.cgi/P100NEFU.PDF?Dockey=P100NEFU.PDF
Standard Operating Procedures for EPA's Tribal Drinking Water Program   ,2010-03-10,2020-02-28,OW-OGWDW-2167,Drinking Water,Standard Operating Procedures for EPA's Tribal Drinking Water Program   ,https://nepis.epa.gov/Exe/tiff2png.cgi/P100NEGA.PNG?-r+75+-g+7+D%3A%5CZYFILES%5CINDEX%20DATA%5C06THRU10%5CTIFF%5C00001702%5CP100NEGA.TIF
Lead in Your Drinking Water: Actions You Can Take to Reduce Lead in Drinking Water,1993-06-01,2020-02-28,OW-OGWDW-1439,Drinking Water ,"The fact sheet mentions health threats from lead, sources of lead in drinking water, and presents actions you can take to reduce in drinking water.  Questions and answers are included.",https://nepis.epa.gov/Exe/ZyNET.exe/20001R4V.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1991+Thru+1994&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C91thru94%5CTxt%5C00000007%5C20001R4V.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Interim Enhanced Water Treatment Rule: What Does It Mean to You?,2001-06-01,2020-02-28,OW-OGWDW-1373,Drinking Water,This document provides details about the IESWTR.,https://nepis.epa.gov/Exe/ZyNET.exe/200025HB.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000004%5C200025HB.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Permit Guidance Document - Transportation Equipment Cleaning Point Source Category (40 CFR 442) ,2001-03-26,2020-02-28,OW-OWM-959,General NPDES,Guidance designed to help implement national policy on effluent limitations guidelines and standards for the Transportation Equipment Cleaning (TEC) Point Source Category.,https://nepis.epa.gov/Exe/ZyNET.exe/20002QL7.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000004%5C20002QL7.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Methods for Evaluating Wetlands Condition:  # 17 Land-Use Characterization for Nutrient and Sediment Risk Assessment,2002-03-01,2020-02-28,OW-OWOW-1591,Monitoring ,Methods for Evaluating Wetlands Condition:  # 17 Land-Use Characterization for Nutrient and Sediment Risk Assessment,https://nepis.epa.gov/Exe/ZyNET.exe/20003IRU.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000005%5C20003IRU.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Part 503 Implementation Guidance (833R95001),1995-01-01,2020-02-28,OW-OST-1798,Biosolids,Guidance for sewage sludge requirements ,https://nepis.epa.gov/Exe/ZyNET.exe/20004E5Y.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1995+Thru+1999&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C95thru99%5CTxt%5C00000002%5C20004E5Y.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Assessing and Monitoring Floatable Debris,2002-08-01,2020-02-28,OW-OWOW-225,Monitoring ,Assessing and Monitoring Floatable Debris,https://nepis.epa.gov/Exe/ZyNET.exe/20004X8M.TXT?ZyActionD=ZyDocument&Client=EPA&Index=2000+Thru+2005&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C00thru05%5CTxt%5C00000006%5C20004X8M.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
National Estuary Program Guidance - Comprehensive Conservation & Management Plans: Content and Approval Requirements (EPA 842-b-92-002),1992-10-01,2020-02-28,OW-OWOW-1651,NEP,National Estuary Program Guidance - Comprehensive Conservation & Management Plans: Content and Approval Requirements (EPA 842-b-92-002),https://nepis.epa.gov/Exe/ZyNET.exe/20004XHU.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1991+Thru+1994&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C91thru94%5CTxt%5C00000003%5C20004XHU.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL
Guidance Manual for the Review of Permitted and Civil Works Projects for the Ocean Disposal of Dredged Material,1992-12-01,2020-02-28,OW-OWOW-2879,MPRSA,This document offers procedural and technical guidance to EPA Regional staff in their independent review of proposals for disposing of dredged material in ocean waters under the MPRSA.,https://nepis.epa.gov/Exe/ZyNET.exe/20004XUX.TXT?ZyActionD=ZyDocument&Client=EPA&Index=1991+Thru+1994&Docs=&Query=&Time=&EndTime=&SearchMethod=1&TocRestrict=n&Toc=&TocEntry=&QField=&QFieldYear=&QFieldMonth=&QFieldDay=&IntQFieldOp=0&ExtQFieldOp=0&XmlQuery=&File=D%3A%5Czyfiles%5CIndex%20Data%5C91thru94%5CTxt%5C00000003%5C20004XUX.txt&User=ANONYMOUS&Password=anonymous&SortMethod=h%7C-&MaximumDocuments=1&FuzzyDegree=0&ImageQuality=r75g8/r75g8/x150y150g16/i425&Display=hpfr&DefSeekPage=x&SearchBack=ZyActionL&Back=ZyActionS&BackDesc=Results%20page&MaximumPages=1&ZyEntry=1&SeekPage=x&ZyPURL 
